Iter 92/610 took 3.11 seconds
Iter 93/610 took 3.07 seconds
Iter 94/610 took 3.06 seconds
Iter 95/610 took 3.17 seconds
Iter 96/610 took 3.03 seconds
Iter 97/610 took 3.11 seconds
Iter 98/610 took 3.07 seconds
Iter 99/610 took 3.16 seconds
Iter 100/610 took 3.13 seconds
Iter 101/610 took 3.11 seconds
Iter 102/610 took 3.00 seconds
Iter 103/610 took 3.01 seconds
Iter 104/610 took 2.96 seconds
Iter 105/610 took 2.99 seconds
Iter 106/610 took 3.03 seconds
Iter 107/610 took 3.04 seconds
Iter 108/610 took 3.04 seconds
Iter 109/610 took 3.09 seconds
Iter 110/610 took 3.08 seconds
Iter 111/610 took 3.05 seconds
Iter 112/610 took 3.12 seconds
Iter 113/610 took 3.11 seconds
Iter 114/610 took 3.16 seconds
Iter 115/610 took 3.06 seconds
Iter 116/610 took 3.11 seconds
Iter 117/610 took 3.20 seconds
Iter 118/610 took 3.06 seconds
Iter 119/610 took 3.20 seconds
Iter 120/610 took 3.24 seconds
Iter 121/610 took 3.10 seconds
Iter 122/610 took 3.13 seconds
Iter 123/610 took 3.05 seconds
Iter 124/610 took 3.01 seconds
Iter 125/610 took 3.01 seconds
Iter 126/610 took 2.99 seconds
Iter 127/610 took 2.99 seconds
Iter 128/610 took 3.05 seconds
Iter 129/610 took 3.10 seconds
Iter 130/610 took 3.13 seconds
Iter 131/610 took 3.06 seconds
Iter 132/610 took 3.04 seconds
Iter 133/610 took 2.99 seconds
Iter 134/610 took 3.04 seconds
Iter 135/610 took 3.05 seconds
Iter 136/610 took 3.09 seconds
Iter 137/610 took 3.03 seconds
Iter 138/610 took 3.05 seconds
Iter 139/610 took 3.05 seconds
Iter 140/610 took 3.14 seconds
Iter 141/610 took 3.06 seconds
Iter 142/610 took 3.29 seconds
Iter 143/610 took 3.22 seconds
Iter 144/610 took 3.31 seconds
Iter 145/610 took 3.22 seconds
Iter 146/610 took 3.08 seconds
Iter 147/610 took 3.28 seconds
Iter 148/610 took 3.39 seconds
Iter 149/610 took 3.46 seconds
Iter 150/610 took 3.41 seconds
Iter 151/610 took 3.28 seconds
Iter 152/610 took 3.48 seconds
Iter 153/610 took 3.37 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m_step_005000000.ckpt at global_step=5013504
Iter 154/610 took 3.33 seconds
Iter 155/610 took 3.34 seconds
Iter 156/610 took 3.40 seconds
Iter 157/610 took 3.33 seconds
Iter 158/610 took 3.54 seconds
Iter 159/610 took 3.36 seconds
Iter 160/610 took 3.14 seconds
Iter 161/610 took 3.21 seconds
Iter 162/610 took 3.18 seconds
Iter 163/610 took 3.13 seconds
Iter 164/610 took 3.28 seconds
Iter 165/610 took 3.11 seconds
Iter 166/610 took 3.03 seconds
