Iter 57/1068 took 2.75 seconds
Iter 58/1068 took 2.83 seconds
Iter 59/1068 took 2.81 seconds
Iter 60/1068 took 2.84 seconds
Iter 61/1068 took 2.76 seconds
Iter 62/1068 took 2.76 seconds
Iter 63/1068 took 2.70 seconds
Iter 64/1068 took 2.72 seconds
Iter 65/1068 took 2.71 seconds
Iter 66/1068 took 2.74 seconds
Iter 67/1068 took 2.82 seconds
Iter 68/1068 took 2.84 seconds
Iter 69/1068 took 2.80 seconds
Iter 70/1068 took 2.71 seconds
Iter 71/1068 took 2.88 seconds
Iter 72/1068 took 2.95 seconds
Iter 73/1068 took 2.77 seconds
Iter 74/1068 took 2.84 seconds
Iter 75/1068 took 2.79 seconds
Iter 76/1068 took 2.68 seconds
Iter 77/1068 took 2.87 seconds
Iter 78/1068 took 2.91 seconds
Iter 79/1068 took 2.68 seconds
Iter 80/1068 took 2.78 seconds
Iter 81/1068 took 2.92 seconds
Iter 82/1068 took 2.80 seconds
Iter 83/1068 took 2.92 seconds
Iter 84/1068 took 2.78 seconds
Iter 85/1068 took 2.76 seconds
Iter 86/1068 took 2.75 seconds
Iter 87/1068 took 2.76 seconds
Iter 88/1068 took 2.70 seconds
Iter 89/1068 took 2.78 seconds
Iter 90/1068 took 2.78 seconds
Iter 91/1068 took 2.77 seconds
Iter 92/1068 took 2.85 seconds
Iter 93/1068 took 2.83 seconds
Iter 94/1068 took 2.77 seconds
Iter 95/1068 took 2.75 seconds
Iter 96/1068 took 2.77 seconds
Iter 97/1068 took 2.73 seconds
Iter 98/1068 took 2.73 seconds
Iter 99/1068 took 2.71 seconds
Iter 100/1068 took 2.74 seconds
Iter 101/1068 took 2.70 seconds
Iter 102/1068 took 2.68 seconds
Iter 103/1068 took 2.65 seconds
Iter 104/1068 took 2.63 seconds
Iter 105/1068 took 2.65 seconds
Iter 106/1068 took 2.70 seconds
Iter 107/1068 took 2.71 seconds
Iter 108/1068 took 2.81 seconds
Iter 109/1068 took 2.69 seconds
Iter 110/1068 took 2.70 seconds
Iter 111/1068 took 2.75 seconds
Iter 112/1068 took 2.75 seconds
Iter 113/1068 took 2.74 seconds
Iter 114/1068 took 2.75 seconds
Iter 115/1068 took 2.74 seconds
Iter 116/1068 took 2.72 seconds
Iter 117/1068 took 2.67 seconds
Iter 118/1068 took 2.64 seconds
Iter 119/1068 took 2.75 seconds
Iter 120/1068 took 2.79 seconds
Iter 121/1068 took 2.76 seconds
Iter 122/1068 took 2.88 seconds
Iter 123/1068 took 2.86 seconds
Iter 124/1068 took 2.78 seconds
Iter 125/1068 took 2.71 seconds
Iter 126/1068 took 2.69 seconds
Iter 127/1068 took 2.74 seconds
Iter 128/1068 took 2.70 seconds
Iter 129/1068 took 2.81 seconds
Iter 130/1068 took 2.85 seconds
Iter 131/1068 took 2.82 seconds
Iter 132/1068 took 2.85 seconds
Iter 133/1068 took 2.73 seconds
Iter 134/1068 took 2.70 seconds
Iter 135/1068 took 2.71 seconds
Iter 136/1068 took 2.70 seconds
Iter 137/1068 took 2.73 seconds
Iter 138/1068 took 2.73 seconds
Iter 139/1068 took 2.76 seconds
Iter 140/1068 took 2.78 seconds
Iter 141/1068 took 2.82 seconds
Iter 142/1068 took 2.77 seconds
Iter 143/1068 took 2.76 seconds
Iter 144/1068 took 2.78 seconds
Iter 145/1068 took 2.89 seconds
Iter 146/1068 took 2.90 seconds
Iter 147/1068 took 2.91 seconds
Iter 148/1068 took 2.87 seconds
Iter 149/1068 took 2.88 seconds
Iter 150/1068 took 2.85 seconds
Iter 151/1068 took 2.84 seconds
Iter 152/1068 took 2.75 seconds
Iter 153/1068 took 2.89 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m_step_005000000.ckpt at global_step=5013504
Iter 154/1068 took 2.82 seconds
Iter 155/1068 took 2.78 seconds
Iter 156/1068 took 2.75 seconds
Iter 157/1068 took 2.85 seconds
Iter 158/1068 took 2.80 seconds
Iter 159/1068 took 2.81 seconds
Iter 160/1068 took 2.79 seconds
Iter 161/1068 took 2.85 seconds
Iter 162/1068 took 2.80 seconds
Iter 163/1068 took 2.80 seconds
Iter 164/1068 took 2.84 seconds
Iter 165/1068 took 2.75 seconds
Iter 166/1068 took 2.74 seconds
Iter 167/1068 took 2.75 seconds
Iter 168/1068 took 2.78 seconds
Iter 169/1068 took 2.72 seconds
Iter 170/1068 took 2.74 seconds
Iter 171/1068 took 2.76 seconds
Iter 172/1068 took 2.68 seconds
Iter 173/1068 took 2.87 seconds
Iter 174/1068 took 2.93 seconds
Iter 175/1068 took 2.82 seconds
Iter 176/1068 took 2.75 seconds
Iter 177/1068 took 2.82 seconds
Iter 178/1068 took 2.83 seconds
Iter 179/1068 took 2.94 seconds
Iter 180/1068 took 2.94 seconds
Iter 181/1068 took 2.94 seconds
Iter 182/1068 took 2.83 seconds
Iter 183/1068 took 2.76 seconds
Iter 184/1068 took 2.83 seconds
Iter 185/1068 took 2.74 seconds
Iter 186/1068 took 2.73 seconds
Iter 187/1068 took 2.78 seconds
Iter 188/1068 took 2.79 seconds
Iter 189/1068 took 2.70 seconds
Iter 190/1068 took 2.80 seconds
Iter 191/1068 took 2.87 seconds
Iter 192/1068 took 2.86 seconds
Iter 193/1068 took 2.86 seconds
Iter 194/1068 took 2.80 seconds
Iter 195/1068 took 2.92 seconds
Iter 196/1068 took 2.81 seconds
Iter 197/1068 took 2.83 seconds
Iter 198/1068 took 2.75 seconds
Iter 199/1068 took 2.85 seconds
Iter 200/1068 took 2.84 seconds
Iter 201/1068 took 2.82 seconds
Iter 202/1068 took 2.69 seconds
Iter 203/1068 took 2.80 seconds
Iter 204/1068 took 2.93 seconds
Iter 205/1068 took 2.78 seconds
Iter 206/1068 took 2.92 seconds
Iter 207/1068 took 2.77 seconds
Iter 208/1068 took 2.77 seconds
Iter 209/1068 took 2.76 seconds
Iter 210/1068 took 2.76 seconds
Iter 211/1068 took 2.64 seconds
Iter 212/1068 took 2.71 seconds
Iter 213/1068 took 2.70 seconds
Iter 214/1068 took 2.78 seconds
Iter 215/1068 took 2.84 seconds
Iter 216/1068 took 2.82 seconds
Iter 217/1068 took 2.82 seconds
Iter 218/1068 took 2.79 seconds
Iter 219/1068 took 2.86 seconds
Iter 220/1068 took 2.89 seconds
Iter 221/1068 took 2.81 seconds
Iter 222/1068 took 2.72 seconds
Iter 223/1068 took 2.91 seconds
Iter 224/1068 took 2.72 seconds
Iter 225/1068 took 2.83 seconds
Iter 226/1068 took 2.72 seconds
Iter 227/1068 took 2.91 seconds
Iter 228/1068 took 2.92 seconds
Iter 229/1068 took 2.84 seconds
Iter 230/1068 took 2.89 seconds
Iter 231/1068 took 2.86 seconds
Iter 232/1068 took 2.81 seconds
Iter 233/1068 took 2.86 seconds
Iter 234/1068 took 2.83 seconds
Iter 235/1068 took 2.74 seconds
Iter 236/1068 took 2.71 seconds
Iter 237/1068 took 2.73 seconds
Iter 238/1068 took 2.67 seconds
Iter 239/1068 took 2.68 seconds
Iter 240/1068 took 2.75 seconds
Iter 241/1068 took 2.82 seconds
Iter 242/1068 took 2.92 seconds
Iter 243/1068 took 2.96 seconds
Iter 244/1068 took 2.97 seconds
Iter 245/1068 took 2.94 seconds
Iter 246/1068 took 2.80 seconds
Iter 247/1068 took 2.78 seconds
Iter 248/1068 took 2.77 seconds
Iter 249/1068 took 2.82 seconds
Iter 250/1068 took 2.95 seconds
Iter 251/1068 took 2.89 seconds
Iter 252/1068 took 2.75 seconds
Iter 253/1068 took 2.73 seconds
Iter 254/1068 took 2.85 seconds
Iter 255/1068 took 2.78 seconds
Iter 256/1068 took 2.82 seconds
Iter 257/1068 took 2.83 seconds
Iter 258/1068 took 2.90 seconds
Iter 259/1068 took 2.77 seconds
Iter 260/1068 took 3.01 seconds
Iter 261/1068 took 2.80 seconds
Iter 262/1068 took 2.85 seconds
Iter 263/1068 took 2.92 seconds
Iter 264/1068 took 2.83 seconds
Iter 265/1068 took 2.79 seconds
Iter 266/1068 took 2.76 seconds
Iter 267/1068 took 2.83 seconds
Iter 268/1068 took 2.80 seconds
Iter 269/1068 took 2.77 seconds
Iter 270/1068 took 2.80 seconds
Iter 271/1068 took 2.73 seconds
Iter 272/1068 took 2.75 seconds
Iter 273/1068 took 2.72 seconds
Iter 274/1068 took 2.69 seconds
Iter 275/1068 took 2.67 seconds
Iter 276/1068 took 2.65 seconds
Iter 277/1068 took 2.68 seconds
Iter 278/1068 took 2.69 seconds
Iter 279/1068 took 2.68 seconds
Iter 280/1068 took 2.72 seconds
Iter 281/1068 took 2.83 seconds
Iter 282/1068 took 2.90 seconds
Iter 283/1068 took 3.00 seconds
Iter 284/1068 took 3.13 seconds
Iter 285/1068 took 3.04 seconds
Iter 286/1068 took 3.05 seconds
Iter 287/1068 took 2.85 seconds
Iter 288/1068 took 2.82 seconds
Iter 289/1068 took 2.78 seconds
Iter 290/1068 took 2.88 seconds
Iter 291/1068 took 2.82 seconds
Iter 292/1068 took 2.79 seconds
Iter 293/1068 took 2.78 seconds
Iter 294/1068 took 2.77 seconds
Iter 295/1068 took 2.67 seconds
Iter 296/1068 took 2.72 seconds
Iter 297/1068 took 2.86 seconds
Iter 298/1068 took 2.79 seconds
Iter 299/1068 took 2.73 seconds
Iter 300/1068 took 2.65 seconds
Iter 301/1068 took 2.65 seconds
Iter 302/1068 took 2.70 seconds
Iter 303/1068 took 2.71 seconds
Iter 304/1068 took 2.72 seconds
Iter 305/1068 took 2.72 seconds
Iter 306/1068 took 2.71 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m_step_010000000.ckpt at global_step=10027008
Iter 307/1068 took 2.66 seconds
Iter 308/1068 took 2.67 seconds
Iter 309/1068 took 2.66 seconds
Iter 310/1068 took 2.73 seconds
Iter 311/1068 took 2.69 seconds
Iter 312/1068 took 2.66 seconds
Iter 313/1068 took 2.71 seconds
Iter 314/1068 took 2.71 seconds
Iter 315/1068 took 2.78 seconds
Iter 316/1068 took 2.85 seconds
Iter 317/1068 took 2.80 seconds
Iter 318/1068 took 2.77 seconds
Iter 319/1068 took 2.83 seconds
Iter 320/1068 took 2.81 seconds
Iter 321/1068 took 2.73 seconds
Iter 322/1068 took 2.77 seconds
Iter 323/1068 took 2.73 seconds
Iter 324/1068 took 2.74 seconds
Iter 325/1068 took 2.77 seconds
Iter 326/1068 took 2.71 seconds
Iter 327/1068 took 2.73 seconds
Iter 328/1068 took 2.69 seconds
Iter 329/1068 took 2.71 seconds
Iter 330/1068 took 2.71 seconds
Iter 331/1068 took 2.71 seconds
Iter 332/1068 took 2.72 seconds
Iter 333/1068 took 2.71 seconds
Iter 334/1068 took 2.71 seconds
Iter 335/1068 took 2.77 seconds
Iter 336/1068 took 2.76 seconds
Iter 337/1068 took 2.69 seconds
Iter 338/1068 took 2.69 seconds
Iter 339/1068 took 2.81 seconds
Iter 340/1068 took 2.75 seconds
Iter 341/1068 took 2.78 seconds
Iter 342/1068 took 2.68 seconds
Iter 343/1068 took 2.75 seconds
Iter 344/1068 took 2.74 seconds
Iter 345/1068 took 2.79 seconds
Iter 346/1068 took 2.85 seconds
Iter 347/1068 took 2.91 seconds
Iter 348/1068 took 2.84 seconds
Iter 349/1068 took 2.72 seconds
Iter 350/1068 took 2.73 seconds
Iter 351/1068 took 2.81 seconds
Iter 352/1068 took 2.72 seconds
Iter 353/1068 took 2.94 seconds
Iter 354/1068 took 2.85 seconds
Iter 355/1068 took 2.79 seconds
Iter 356/1068 took 2.77 seconds
Iter 357/1068 took 2.83 seconds
Iter 358/1068 took 2.70 seconds
Iter 359/1068 took 2.72 seconds
Iter 360/1068 took 2.70 seconds
Iter 361/1068 took 2.84 seconds
Iter 362/1068 took 2.74 seconds
Iter 363/1068 took 2.77 seconds
Iter 364/1068 took 2.90 seconds
Iter 365/1068 took 2.91 seconds
Iter 366/1068 took 2.81 seconds
Iter 367/1068 took 2.79 seconds
Iter 368/1068 took 2.84 seconds
Iter 369/1068 took 2.85 seconds
Iter 370/1068 took 2.82 seconds
Iter 371/1068 took 2.90 seconds
Iter 372/1068 took 2.81 seconds
Iter 373/1068 took 2.90 seconds
Iter 374/1068 took 2.87 seconds
Iter 375/1068 took 2.83 seconds
Iter 376/1068 took 2.76 seconds
Iter 377/1068 took 2.73 seconds
