Iter 72/915 took 2.64 seconds
Iter 73/915 took 2.77 seconds
Iter 74/915 took 2.74 seconds
Iter 75/915 took 2.70 seconds
Iter 76/915 took 2.60 seconds
Iter 77/915 took 2.75 seconds
Iter 78/915 took 2.76 seconds
Iter 79/915 took 2.82 seconds
Iter 80/915 took 2.94 seconds
Iter 81/915 took 2.87 seconds
Iter 82/915 took 2.75 seconds
Iter 83/915 took 2.74 seconds
Iter 84/915 took 2.78 seconds
Iter 85/915 took 2.69 seconds
Iter 86/915 took 2.72 seconds
Iter 87/915 took 2.71 seconds
Iter 88/915 took 2.73 seconds
Iter 89/915 took 2.72 seconds
Iter 90/915 took 2.72 seconds
Iter 91/915 took 2.77 seconds
Iter 92/915 took 2.65 seconds
Iter 93/915 took 2.66 seconds
Iter 94/915 took 2.61 seconds
Iter 95/915 took 2.66 seconds
Iter 96/915 took 2.63 seconds
Iter 97/915 took 2.60 seconds
Iter 98/915 took 2.66 seconds
Iter 99/915 took 2.70 seconds
Iter 100/915 took 2.70 seconds
Iter 101/915 took 2.67 seconds
Iter 102/915 took 2.66 seconds
Iter 103/915 took 2.63 seconds
Iter 104/915 took 2.70 seconds
Iter 105/915 took 2.65 seconds
Iter 106/915 took 2.72 seconds
Iter 107/915 took 2.87 seconds
Iter 108/915 took 2.83 seconds
Iter 109/915 took 2.75 seconds
Iter 110/915 took 2.71 seconds
Iter 111/915 took 2.80 seconds
Iter 112/915 took 2.78 seconds
Iter 113/915 took 2.74 seconds
Iter 114/915 took 2.67 seconds
Iter 115/915 took 2.76 seconds
Iter 116/915 took 2.73 seconds
Iter 117/915 took 2.71 seconds
Iter 118/915 took 2.79 seconds
Iter 119/915 took 2.64 seconds
Iter 120/915 took 2.71 seconds
Iter 121/915 took 2.70 seconds
Iter 122/915 took 2.77 seconds
Iter 123/915 took 2.73 seconds
Iter 124/915 took 2.74 seconds
Iter 125/915 took 2.76 seconds
Iter 126/915 took 2.71 seconds
Iter 127/915 took 2.78 seconds
Iter 128/915 took 2.74 seconds
Iter 129/915 took 2.73 seconds
Iter 130/915 took 2.68 seconds
Iter 131/915 took 2.74 seconds
Iter 132/915 took 2.72 seconds
Iter 133/915 took 2.71 seconds
Iter 134/915 took 2.68 seconds
Iter 135/915 took 2.70 seconds
Iter 136/915 took 2.70 seconds
Iter 137/915 took 2.66 seconds
Iter 138/915 took 2.66 seconds
Iter 139/915 took 2.73 seconds
Iter 140/915 took 2.73 seconds
Iter 141/915 took 2.74 seconds
Iter 142/915 took 2.80 seconds
Iter 143/915 took 2.75 seconds
Iter 144/915 took 2.63 seconds
Iter 145/915 took 2.71 seconds
Iter 146/915 took 2.85 seconds
Iter 147/915 took 2.76 seconds
Iter 148/915 took 2.67 seconds
Iter 149/915 took 2.78 seconds
Iter 150/915 took 2.74 seconds
Iter 151/915 took 2.70 seconds
Iter 152/915 took 2.83 seconds
Iter 153/915 took 2.76 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m_step_005000000.ckpt at global_step=5013504
Iter 154/915 took 2.78 seconds
Iter 155/915 took 2.82 seconds
Iter 156/915 took 2.75 seconds
Iter 157/915 took 2.76 seconds
Iter 158/915 took 2.78 seconds
Iter 159/915 took 2.71 seconds
Iter 160/915 took 2.66 seconds
Iter 161/915 took 2.65 seconds
Iter 162/915 took 2.62 seconds
Iter 163/915 took 2.82 seconds
Iter 164/915 took 2.84 seconds
Iter 165/915 took 2.87 seconds
Iter 166/915 took 2.78 seconds
Iter 167/915 took 2.81 seconds
Iter 168/915 took 2.80 seconds
Iter 169/915 took 2.78 seconds
Iter 170/915 took 2.89 seconds
Iter 171/915 took 2.85 seconds
Iter 172/915 took 2.79 seconds
Iter 173/915 took 2.80 seconds
Iter 174/915 took 2.73 seconds
Iter 175/915 took 2.78 seconds
Iter 176/915 took 2.74 seconds
Iter 177/915 took 2.73 seconds
