Iter 81/1525 took 2.99 seconds
Iter 82/1525 took 2.93 seconds
Iter 83/1525 took 2.91 seconds
Iter 84/1525 took 2.77 seconds
Iter 85/1525 took 2.76 seconds
Iter 86/1525 took 2.78 seconds
Iter 87/1525 took 2.90 seconds
Iter 88/1525 took 2.85 seconds
Iter 89/1525 took 2.89 seconds
Iter 90/1525 took 2.86 seconds
Iter 91/1525 took 2.81 seconds
Iter 92/1525 took 2.81 seconds
Iter 93/1525 took 2.71 seconds
Iter 94/1525 took 2.74 seconds
Iter 95/1525 took 2.80 seconds
Iter 96/1525 took 2.82 seconds
Iter 97/1525 took 2.90 seconds
Iter 98/1525 took 2.92 seconds
Iter 99/1525 took 2.85 seconds
Iter 100/1525 took 3.00 seconds
Iter 101/1525 took 2.97 seconds
Iter 102/1525 took 2.91 seconds
Iter 103/1525 took 2.83 seconds
Iter 104/1525 took 2.80 seconds
Iter 105/1525 took 2.84 seconds
Iter 106/1525 took 2.92 seconds
Iter 107/1525 took 2.96 seconds
Iter 108/1525 took 2.99 seconds
Iter 109/1525 took 3.00 seconds
Iter 110/1525 took 2.88 seconds
Iter 111/1525 took 2.94 seconds
Iter 112/1525 took 2.85 seconds
Iter 113/1525 took 2.89 seconds
Iter 114/1525 took 2.82 seconds
Iter 115/1525 took 2.84 seconds
Iter 116/1525 took 2.82 seconds
Iter 117/1525 took 2.82 seconds
Iter 118/1525 took 2.77 seconds
Iter 119/1525 took 2.82 seconds
Iter 120/1525 took 2.86 seconds
Iter 121/1525 took 2.89 seconds
Iter 122/1525 took 2.83 seconds
Iter 123/1525 took 2.76 seconds
Iter 124/1525 took 2.78 seconds
Iter 125/1525 took 2.84 seconds
Iter 126/1525 took 2.84 seconds
Iter 127/1525 took 2.86 seconds
Iter 128/1525 took 2.87 seconds
Iter 129/1525 took 2.97 seconds
Iter 130/1525 took 3.00 seconds
Iter 131/1525 took 3.14 seconds
Iter 132/1525 took 2.82 seconds
Iter 133/1525 took 2.93 seconds
Iter 134/1525 took 3.12 seconds
Iter 135/1525 took 2.97 seconds
Iter 136/1525 took 3.08 seconds
Iter 137/1525 took 2.95 seconds
Iter 138/1525 took 2.85 seconds
Iter 139/1525 took 2.80 seconds
Iter 140/1525 took 2.84 seconds
Iter 141/1525 took 2.78 seconds
Iter 142/1525 took 2.88 seconds
Iter 143/1525 took 2.82 seconds
Iter 144/1525 took 2.91 seconds
Iter 145/1525 took 3.05 seconds
Iter 146/1525 took 2.91 seconds
Iter 147/1525 took 2.93 seconds
Iter 148/1525 took 2.88 seconds
Iter 149/1525 took 2.82 seconds
Iter 150/1525 took 2.74 seconds
Iter 151/1525 took 2.82 seconds
Iter 152/1525 took 2.90 seconds
Iter 153/1525 took 2.84 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m_step_005000000.ckpt at global_step=5013504
