Iter 76/3051 took 1.92 seconds
Iter 77/3051 took 1.95 seconds
Iter 78/3051 took 1.86 seconds
Iter 79/3051 took 1.84 seconds
Iter 80/3051 took 1.90 seconds
Iter 81/3051 took 1.91 seconds
Iter 82/3051 took 1.96 seconds
Iter 83/3051 took 1.90 seconds
Iter 84/3051 took 1.94 seconds
Iter 85/3051 took 1.79 seconds
Iter 86/3051 took 1.90 seconds
Iter 87/3051 took 1.85 seconds
Iter 88/3051 took 1.87 seconds
Iter 89/3051 took 1.90 seconds
Iter 90/3051 took 1.93 seconds
Iter 91/3051 took 1.93 seconds
Iter 92/3051 took 1.91 seconds
Iter 93/3051 took 1.83 seconds
Iter 94/3051 took 1.87 seconds
Iter 95/3051 took 1.90 seconds
Iter 96/3051 took 1.87 seconds
Iter 97/3051 took 1.82 seconds
Iter 98/3051 took 1.89 seconds
Iter 99/3051 took 1.90 seconds
Iter 100/3051 took 1.96 seconds
Iter 101/3051 took 1.90 seconds
Iter 102/3051 took 1.90 seconds
Iter 103/3051 took 1.87 seconds
Iter 104/3051 took 1.87 seconds
Iter 105/3051 took 1.87 seconds
Iter 106/3051 took 1.94 seconds
Iter 107/3051 took 1.90 seconds
Iter 108/3051 took 1.92 seconds
Iter 109/3051 took 1.88 seconds
Iter 110/3051 took 1.85 seconds
Iter 111/3051 took 1.86 seconds
Iter 112/3051 took 1.97 seconds
Iter 113/3051 took 1.91 seconds
Iter 114/3051 took 1.92 seconds
Iter 115/3051 took 1.84 seconds
Iter 116/3051 took 1.83 seconds
Iter 117/3051 took 1.92 seconds
Iter 118/3051 took 1.89 seconds
Iter 119/3051 took 1.89 seconds
Iter 120/3051 took 1.89 seconds
Iter 121/3051 took 1.84 seconds
Iter 122/3051 took 1.89 seconds
Iter 123/3051 took 1.90 seconds
Iter 124/3051 took 1.88 seconds
Iter 125/3051 took 1.83 seconds
Iter 126/3051 took 1.85 seconds
Iter 127/3051 took 1.88 seconds
Iter 128/3051 took 1.90 seconds
Iter 129/3051 took 1.84 seconds
Iter 130/3051 took 1.92 seconds
Iter 131/3051 took 1.94 seconds
Iter 132/3051 took 1.80 seconds
Iter 133/3051 took 1.85 seconds
Iter 134/3051 took 1.90 seconds
Iter 135/3051 took 1.91 seconds
Iter 136/3051 took 1.90 seconds
Iter 137/3051 took 1.89 seconds
Iter 138/3051 took 1.90 seconds
Iter 139/3051 took 1.83 seconds
Iter 140/3051 took 1.82 seconds
Iter 141/3051 took 1.90 seconds
Iter 142/3051 took 1.85 seconds
Iter 143/3051 took 1.85 seconds
Iter 144/3051 took 1.88 seconds
Iter 145/3051 took 1.81 seconds
Iter 146/3051 took 1.89 seconds
Iter 147/3051 took 1.91 seconds
Iter 148/3051 took 1.84 seconds
Iter 149/3051 took 1.93 seconds
Iter 150/3051 took 1.91 seconds
Iter 151/3051 took 1.86 seconds
Iter 152/3051 took 1.96 seconds
Iter 153/3051 took 1.91 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_016_loop010_step_curve_maturation_100m/level3_loop_016_loop010_step_curve_maturation_100m_step_005000000.ckpt at global_step=5013504
Iter 154/3051 took 1.86 seconds
Iter 155/3051 took 1.89 seconds
Iter 156/3051 took 1.87 seconds
Iter 157/3051 took 1.85 seconds
Iter 158/3051 took 1.90 seconds
Iter 159/3051 took 1.89 seconds
Iter 160/3051 took 1.90 seconds
Iter 161/3051 took 1.87 seconds
Iter 162/3051 took 1.86 seconds
Iter 163/3051 took 1.86 seconds
Iter 164/3051 took 1.84 seconds
Iter 165/3051 took 1.94 seconds
Iter 166/3051 took 1.95 seconds
Iter 167/3051 took 1.90 seconds
Iter 168/3051 took 1.97 seconds
Iter 169/3051 took 1.90 seconds
Iter 170/3051 took 1.82 seconds
Iter 171/3051 took 1.82 seconds
Iter 172/3051 took 1.83 seconds
Iter 173/3051 took 1.91 seconds
Iter 174/3051 took 1.90 seconds
Iter 175/3051 took 1.83 seconds
Iter 176/3051 took 1.89 seconds
Iter 177/3051 took 1.88 seconds
Iter 178/3051 took 1.88 seconds
Iter 179/3051 took 1.90 seconds
Iter 180/3051 took 1.89 seconds
Iter 181/3051 took 1.82 seconds
Iter 182/3051 took 1.85 seconds
Iter 183/3051 took 1.91 seconds
Iter 184/3051 took 1.92 seconds
Iter 185/3051 took 1.96 seconds
Iter 186/3051 took 1.85 seconds
Iter 187/3051 took 1.99 seconds
Iter 188/3051 took 1.98 seconds
Iter 189/3051 took 1.83 seconds
Iter 190/3051 took 1.88 seconds
Iter 191/3051 took 1.82 seconds
Iter 192/3051 took 1.80 seconds
Iter 193/3051 took 1.84 seconds
Iter 194/3051 took 1.89 seconds
Iter 195/3051 took 1.88 seconds
Iter 196/3051 took 1.91 seconds
Iter 197/3051 took 1.80 seconds
Iter 198/3051 took 1.84 seconds
Iter 199/3051 took 1.88 seconds
Iter 200/3051 took 1.89 seconds
Iter 201/3051 took 1.88 seconds
Iter 202/3051 took 1.96 seconds
Iter 203/3051 took 1.85 seconds
Iter 204/3051 took 1.89 seconds
Iter 205/3051 took 1.87 seconds
Iter 206/3051 took 1.88 seconds
Iter 207/3051 took 1.87 seconds
Iter 208/3051 took 1.92 seconds
Iter 209/3051 took 1.84 seconds
Iter 210/3051 took 1.85 seconds
Iter 211/3051 took 1.90 seconds
Iter 212/3051 took 1.82 seconds
Iter 213/3051 took 1.97 seconds
Iter 214/3051 took 1.91 seconds
Iter 215/3051 took 1.89 seconds
Iter 216/3051 took 2.02 seconds
Iter 217/3051 took 1.88 seconds
Iter 218/3051 took 1.80 seconds
Iter 219/3051 took 1.83 seconds
Iter 220/3051 took 1.89 seconds
Iter 221/3051 took 1.99 seconds
Iter 222/3051 took 1.88 seconds
Iter 223/3051 took 1.89 seconds
Iter 224/3051 took 1.90 seconds
Iter 225/3051 took 1.90 seconds
Iter 226/3051 took 1.85 seconds
Iter 227/3051 took 1.87 seconds
Iter 228/3051 took 1.82 seconds
Iter 229/3051 took 1.94 seconds
Iter 230/3051 took 1.89 seconds
Iter 231/3051 took 1.85 seconds
Iter 232/3051 took 1.87 seconds
Iter 233/3051 took 1.91 seconds
Iter 234/3051 took 1.81 seconds
Iter 235/3051 took 1.89 seconds
Iter 236/3051 took 1.83 seconds
Iter 237/3051 took 1.88 seconds
Iter 238/3051 took 1.91 seconds
Iter 239/3051 took 1.93 seconds
Iter 240/3051 took 1.90 seconds
Iter 241/3051 took 1.92 seconds
Iter 242/3051 took 1.87 seconds
Iter 243/3051 took 1.83 seconds
Iter 244/3051 took 1.79 seconds
Iter 245/3051 took 1.80 seconds
Iter 246/3051 took 1.86 seconds
Iter 247/3051 took 1.90 seconds
Iter 248/3051 took 1.86 seconds
Iter 249/3051 took 1.96 seconds
Iter 250/3051 took 1.87 seconds
Iter 251/3051 took 1.82 seconds
Iter 252/3051 took 1.87 seconds
Iter 253/3051 took 1.95 seconds
Iter 254/3051 took 1.87 seconds
Iter 255/3051 took 1.86 seconds
Iter 256/3051 took 1.86 seconds
Iter 257/3051 took 1.94 seconds
Iter 258/3051 took 1.89 seconds
Iter 259/3051 took 1.93 seconds
Iter 260/3051 took 1.94 seconds
Iter 261/3051 took 1.82 seconds
Iter 262/3051 took 1.83 seconds
Iter 263/3051 took 1.87 seconds
Iter 264/3051 took 1.92 seconds
Iter 265/3051 took 1.85 seconds
Iter 266/3051 took 1.86 seconds
Iter 267/3051 took 1.90 seconds
Iter 268/3051 took 1.89 seconds
Iter 269/3051 took 1.87 seconds
Iter 270/3051 took 1.93 seconds
Iter 271/3051 took 1.84 seconds
Iter 272/3051 took 1.93 seconds
Iter 273/3051 took 1.97 seconds
Iter 274/3051 took 1.93 seconds
Iter 275/3051 took 1.89 seconds
Iter 276/3051 took 1.87 seconds
Iter 277/3051 took 1.89 seconds
Iter 278/3051 took 1.90 seconds
Iter 279/3051 took 1.90 seconds
Iter 280/3051 took 1.90 seconds
Iter 281/3051 took 1.92 seconds
Iter 282/3051 took 1.92 seconds
Iter 283/3051 took 1.92 seconds
Iter 284/3051 took 1.91 seconds
Iter 285/3051 took 1.86 seconds
Iter 286/3051 took 1.86 seconds
Iter 287/3051 took 1.86 seconds
Iter 288/3051 took 1.80 seconds
Iter 289/3051 took 1.90 seconds
Iter 290/3051 took 1.94 seconds
Iter 291/3051 took 1.98 seconds
Iter 292/3051 took 1.82 seconds
Iter 293/3051 took 1.81 seconds
Iter 294/3051 took 1.85 seconds
Iter 295/3051 took 1.85 seconds
Iter 296/3051 took 1.93 seconds
Iter 297/3051 took 1.94 seconds
Iter 298/3051 took 1.86 seconds
Iter 299/3051 took 1.89 seconds
Iter 300/3051 took 1.88 seconds
Iter 301/3051 took 1.85 seconds
Iter 302/3051 took 1.86 seconds
Iter 303/3051 took 1.84 seconds
Iter 304/3051 took 1.91 seconds
Iter 305/3051 took 1.98 seconds
Iter 306/3051 took 1.82 seconds
