Iter 50/610 took 2.78 seconds
Iter 51/610 took 2.73 seconds
Iter 52/610 took 2.74 seconds
Iter 53/610 took 2.73 seconds
Iter 54/610 took 2.72 seconds
Iter 55/610 took 2.66 seconds
Iter 56/610 took 2.70 seconds
Iter 57/610 took 2.85 seconds
Iter 58/610 took 2.87 seconds
Iter 59/610 took 2.90 seconds
Iter 60/610 took 2.72 seconds
Iter 61/610 took 2.76 seconds
Iter 62/610 took 2.71 seconds
Iter 63/610 took 2.72 seconds
Iter 64/610 took 2.74 seconds
Iter 65/610 took 2.66 seconds
Iter 66/610 took 2.71 seconds
Iter 67/610 took 2.72 seconds
Iter 68/610 took 2.72 seconds
Iter 69/610 took 2.72 seconds
Iter 70/610 took 2.76 seconds
Iter 71/610 took 2.78 seconds
Iter 72/610 took 2.76 seconds
Iter 73/610 took 2.79 seconds
Iter 74/610 took 2.75 seconds
Iter 75/610 took 2.76 seconds
Iter 76/610 took 2.74 seconds
Iter 77/610 took 2.70 seconds
Iter 78/610 took 2.74 seconds
Iter 79/610 took 2.71 seconds
Iter 80/610 took 2.75 seconds
Iter 81/610 took 2.77 seconds
Iter 82/610 took 2.75 seconds
Iter 83/610 took 2.77 seconds
Iter 84/610 took 2.69 seconds
Iter 85/610 took 2.67 seconds
Iter 86/610 took 2.71 seconds
Iter 87/610 took 2.66 seconds
Iter 88/610 took 2.76 seconds
Iter 89/610 took 2.77 seconds
Iter 90/610 took 2.77 seconds
Iter 91/610 took 2.80 seconds
Iter 92/610 took 2.91 seconds
Iter 93/610 took 2.76 seconds
Iter 94/610 took 2.78 seconds
Iter 95/610 took 2.72 seconds
Iter 96/610 took 2.71 seconds
Iter 97/610 took 2.84 seconds
Iter 98/610 took 2.89 seconds
Iter 99/610 took 2.87 seconds
Iter 100/610 took 2.79 seconds
Iter 101/610 took 2.72 seconds
Iter 102/610 took 2.69 seconds
Iter 103/610 took 2.81 seconds
Iter 104/610 took 2.68 seconds
Iter 105/610 took 2.86 seconds
Iter 106/610 took 2.77 seconds
Iter 107/610 took 2.76 seconds
Iter 108/610 took 2.79 seconds
Iter 109/610 took 2.70 seconds
Iter 110/610 took 2.70 seconds
Iter 111/610 took 2.73 seconds
Iter 112/610 took 2.74 seconds
Iter 113/610 took 2.72 seconds
Iter 114/610 took 2.74 seconds
Iter 115/610 took 2.72 seconds
Iter 116/610 took 2.68 seconds
Iter 117/610 took 2.70 seconds
Iter 118/610 took 2.74 seconds
Iter 119/610 took 2.89 seconds
Iter 120/610 took 2.86 seconds
Iter 121/610 took 2.77 seconds
Iter 122/610 took 2.79 seconds
Iter 123/610 took 2.79 seconds
Iter 124/610 took 2.89 seconds
Iter 125/610 took 2.82 seconds
Iter 126/610 took 2.79 seconds
Iter 127/610 took 2.78 seconds
Iter 128/610 took 2.80 seconds
Iter 129/610 took 2.89 seconds
Iter 130/610 took 2.99 seconds
Iter 131/610 took 2.83 seconds
Iter 132/610 took 2.91 seconds
Iter 133/610 took 2.77 seconds
Iter 134/610 took 2.79 seconds
Iter 135/610 took 2.76 seconds
Iter 136/610 took 2.77 seconds
Iter 137/610 took 2.71 seconds
Iter 138/610 took 2.74 seconds
Iter 139/610 took 2.80 seconds
