Iter 73/2746 took 2.64 seconds
Iter 74/2746 took 2.66 seconds
Iter 75/2746 took 2.72 seconds
Iter 76/2746 took 2.67 seconds
Iter 77/2746 took 2.63 seconds
Iter 78/2746 took 2.63 seconds
Iter 79/2746 took 2.62 seconds
Iter 80/2746 took 2.65 seconds
Iter 81/2746 took 2.65 seconds
Iter 82/2746 took 2.64 seconds
Iter 83/2746 took 2.63 seconds
Iter 84/2746 took 2.62 seconds
Iter 85/2746 took 2.68 seconds
Iter 86/2746 took 2.58 seconds
Iter 87/2746 took 2.61 seconds
Iter 88/2746 took 2.60 seconds
Iter 89/2746 took 2.57 seconds
Iter 90/2746 took 2.69 seconds
Iter 91/2746 took 2.64 seconds
Iter 92/2746 took 2.66 seconds
Iter 93/2746 took 2.66 seconds
Iter 94/2746 took 2.65 seconds
Iter 95/2746 took 2.66 seconds
Iter 96/2746 took 2.63 seconds
Iter 97/2746 took 2.76 seconds
Iter 98/2746 took 2.73 seconds
Iter 99/2746 took 2.72 seconds
Iter 100/2746 took 2.71 seconds
Iter 101/2746 took 2.73 seconds
Iter 102/2746 took 2.74 seconds
Iter 103/2746 took 2.68 seconds
Iter 104/2746 took 2.73 seconds
Iter 105/2746 took 2.77 seconds
Iter 106/2746 took 2.70 seconds
Iter 107/2746 took 2.65 seconds
Iter 108/2746 took 2.66 seconds
Iter 109/2746 took 2.67 seconds
Iter 110/2746 took 2.67 seconds
Iter 111/2746 took 2.66 seconds
Iter 112/2746 took 2.62 seconds
Iter 113/2746 took 2.62 seconds
Iter 114/2746 took 2.61 seconds
Iter 115/2746 took 2.69 seconds
Iter 116/2746 took 2.66 seconds
Iter 117/2746 took 2.67 seconds
Iter 118/2746 took 2.69 seconds
Iter 119/2746 took 2.70 seconds
Iter 120/2746 took 2.73 seconds
Iter 121/2746 took 2.75 seconds
Iter 122/2746 took 2.73 seconds
Iter 123/2746 took 2.75 seconds
Iter 124/2746 took 2.77 seconds
Iter 125/2746 took 2.69 seconds
Iter 126/2746 took 2.73 seconds
Iter 127/2746 took 2.76 seconds
Iter 128/2746 took 2.74 seconds
Iter 129/2746 took 2.81 seconds
Iter 130/2746 took 2.88 seconds
Iter 131/2746 took 2.76 seconds
Iter 132/2746 took 2.78 seconds
Iter 133/2746 took 2.76 seconds
Iter 134/2746 took 2.75 seconds
Iter 135/2746 took 2.69 seconds
Iter 136/2746 took 2.70 seconds
Iter 137/2746 took 2.67 seconds
Iter 138/2746 took 2.66 seconds
Iter 139/2746 took 2.67 seconds
Iter 140/2746 took 2.58 seconds
Iter 141/2746 took 2.58 seconds
Iter 142/2746 took 2.60 seconds
Iter 143/2746 took 2.58 seconds
Iter 144/2746 took 2.63 seconds
Iter 145/2746 took 2.63 seconds
Iter 146/2746 took 2.68 seconds
Iter 147/2746 took 2.67 seconds
Iter 148/2746 took 2.59 seconds
Iter 149/2746 took 2.60 seconds
Iter 150/2746 took 2.64 seconds
Iter 151/2746 took 2.66 seconds
Iter 152/2746 took 2.66 seconds
Iter 153/2746 took 2.73 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_018_v5_gate_acquisition_repair_mature_90m/level3_loop_018_v5_gate_acquisition_repair_mature_90m_step_005000000.ckpt at global_step=5013504
Iter 154/2746 took 2.63 seconds
Iter 155/2746 took 2.64 seconds
Iter 156/2746 took 2.65 seconds
Iter 157/2746 took 2.68 seconds
Iter 158/2746 took 2.77 seconds
Iter 159/2746 took 2.72 seconds
Iter 160/2746 took 2.74 seconds
Iter 161/2746 took 2.61 seconds
Iter 162/2746 took 2.60 seconds
Iter 163/2746 took 2.65 seconds
Iter 164/2746 took 2.65 seconds
Iter 165/2746 took 2.68 seconds
Iter 166/2746 took 2.59 seconds
Iter 167/2746 took 2.63 seconds
Iter 168/2746 took 2.70 seconds
Iter 169/2746 took 2.73 seconds
Iter 170/2746 took 2.78 seconds
Iter 171/2746 took 2.73 seconds
Iter 172/2746 took 2.73 seconds
Iter 173/2746 took 2.69 seconds
Iter 174/2746 took 2.62 seconds
Iter 175/2746 took 2.66 seconds
Iter 176/2746 took 2.68 seconds
Iter 177/2746 took 2.73 seconds
Iter 178/2746 took 2.59 seconds
Iter 179/2746 took 2.68 seconds
Iter 180/2746 took 2.70 seconds
Iter 181/2746 took 2.71 seconds
Iter 182/2746 took 2.72 seconds
Iter 183/2746 took 2.80 seconds
Iter 184/2746 took 2.70 seconds
Iter 185/2746 took 2.72 seconds
Iter 186/2746 took 2.85 seconds
Iter 187/2746 took 2.80 seconds
Iter 188/2746 took 2.70 seconds
Iter 189/2746 took 2.76 seconds
Iter 190/2746 took 2.69 seconds
Iter 191/2746 took 2.79 seconds
Iter 192/2746 took 2.80 seconds
Iter 193/2746 took 2.74 seconds
Iter 194/2746 took 2.84 seconds
Iter 195/2746 took 2.85 seconds
Iter 196/2746 took 2.80 seconds
Iter 197/2746 took 2.63 seconds
Iter 198/2746 took 2.83 seconds
Iter 199/2746 took 2.76 seconds
Iter 200/2746 took 2.78 seconds
Iter 201/2746 took 2.74 seconds
Iter 202/2746 took 2.86 seconds
Iter 203/2746 took 2.67 seconds
Iter 204/2746 took 2.75 seconds
Iter 205/2746 took 2.68 seconds
Iter 206/2746 took 2.71 seconds
Iter 207/2746 took 2.75 seconds
Iter 208/2746 took 2.79 seconds
Iter 209/2746 took 2.71 seconds
Iter 210/2746 took 2.72 seconds
Iter 211/2746 took 2.69 seconds
Iter 212/2746 took 2.72 seconds
Iter 213/2746 took 2.73 seconds
Iter 214/2746 took 2.65 seconds
Iter 215/2746 took 2.66 seconds
Iter 216/2746 took 2.63 seconds
Iter 217/2746 took 2.64 seconds
Iter 218/2746 took 2.61 seconds
Iter 219/2746 took 2.70 seconds
Iter 220/2746 took 2.65 seconds
Iter 221/2746 took 2.84 seconds
Iter 222/2746 took 2.75 seconds
Iter 223/2746 took 2.79 seconds
Iter 224/2746 took 2.80 seconds
Iter 225/2746 took 2.88 seconds
Iter 226/2746 took 2.91 seconds
Iter 227/2746 took 2.92 seconds
Iter 228/2746 took 2.95 seconds
Iter 229/2746 took 2.81 seconds
