Iter 58/1373 took 2.93 seconds
Iter 59/1373 took 2.93 seconds
Iter 60/1373 took 2.99 seconds
Iter 61/1373 took 2.98 seconds
Iter 62/1373 took 3.03 seconds
Iter 63/1373 took 3.09 seconds
Iter 64/1373 took 3.01 seconds
Iter 65/1373 took 3.11 seconds
Iter 66/1373 took 3.11 seconds
Iter 67/1373 took 3.04 seconds
Iter 68/1373 took 3.11 seconds
Iter 69/1373 took 3.12 seconds
Iter 70/1373 took 3.12 seconds
Iter 71/1373 took 3.05 seconds
Iter 72/1373 took 2.96 seconds
Iter 73/1373 took 3.11 seconds
Iter 74/1373 took 3.07 seconds
Iter 75/1373 took 2.94 seconds
Iter 76/1373 took 2.99 seconds
Iter 77/1373 took 2.96 seconds
Iter 78/1373 took 3.02 seconds
Iter 79/1373 took 3.03 seconds
Iter 80/1373 took 3.00 seconds
Iter 81/1373 took 3.05 seconds
Iter 82/1373 took 3.02 seconds
Iter 83/1373 took 3.05 seconds
Iter 84/1373 took 3.03 seconds
Iter 85/1373 took 2.98 seconds
Iter 86/1373 took 2.99 seconds
Iter 87/1373 took 2.98 seconds
Iter 88/1373 took 3.05 seconds
Iter 89/1373 took 3.13 seconds
Iter 90/1373 took 3.10 seconds
Iter 91/1373 took 3.14 seconds
Iter 92/1373 took 3.18 seconds
Iter 93/1373 took 3.09 seconds
Iter 94/1373 took 3.02 seconds
Iter 95/1373 took 3.00 seconds
Iter 96/1373 took 3.09 seconds
Iter 97/1373 took 3.16 seconds
Iter 98/1373 took 3.06 seconds
Iter 99/1373 took 3.16 seconds
Iter 100/1373 took 3.07 seconds
Iter 101/1373 took 3.08 seconds
Iter 102/1373 took 2.98 seconds
Iter 103/1373 took 2.97 seconds
Iter 104/1373 took 3.05 seconds
Iter 105/1373 took 3.24 seconds
Iter 106/1373 took 3.08 seconds
Iter 107/1373 took 3.04 seconds
Iter 108/1373 took 3.07 seconds
Iter 109/1373 took 2.97 seconds
Iter 110/1373 took 3.01 seconds
Iter 111/1373 took 3.00 seconds
Iter 112/1373 took 3.04 seconds
Iter 113/1373 took 3.11 seconds
Iter 114/1373 took 3.11 seconds
Iter 115/1373 took 3.16 seconds
Iter 116/1373 took 3.14 seconds
Iter 117/1373 took 3.15 seconds
Iter 118/1373 took 3.18 seconds
Iter 119/1373 took 3.07 seconds
Iter 120/1373 took 3.11 seconds
Iter 121/1373 took 2.95 seconds
Iter 122/1373 took 2.96 seconds
Iter 123/1373 took 2.92 seconds
Iter 124/1373 took 3.01 seconds
Iter 125/1373 took 2.96 seconds
Iter 126/1373 took 3.05 seconds
Iter 127/1373 took 3.04 seconds
Iter 128/1373 took 3.05 seconds
Iter 129/1373 took 3.08 seconds
Iter 130/1373 took 3.14 seconds
Iter 131/1373 took 3.14 seconds
Iter 132/1373 took 2.98 seconds
Iter 133/1373 took 3.01 seconds
Iter 134/1373 took 3.03 seconds
Iter 135/1373 took 3.00 seconds
Iter 136/1373 took 2.99 seconds
Iter 137/1373 took 3.03 seconds
Iter 138/1373 took 3.04 seconds
Iter 139/1373 took 3.06 seconds
Iter 140/1373 took 3.03 seconds
Iter 141/1373 took 3.02 seconds
Iter 142/1373 took 3.02 seconds
Iter 143/1373 took 3.06 seconds
Iter 144/1373 took 3.07 seconds
Iter 145/1373 took 3.05 seconds
Iter 146/1373 took 3.11 seconds
Iter 147/1373 took 3.04 seconds
Iter 148/1373 took 2.99 seconds
Iter 149/1373 took 3.04 seconds
Iter 150/1373 took 2.98 seconds
Iter 151/1373 took 3.01 seconds
Iter 152/1373 took 3.14 seconds
Iter 153/1373 took 3.11 seconds
