Iter 70/1831 took 2.59 seconds
Iter 71/1831 took 2.61 seconds
Iter 72/1831 took 2.62 seconds
Iter 73/1831 took 2.66 seconds
Iter 74/1831 took 2.71 seconds
Iter 75/1831 took 2.67 seconds
Iter 76/1831 took 2.63 seconds
Iter 77/1831 took 2.69 seconds
Iter 78/1831 took 2.70 seconds
Iter 79/1831 took 2.65 seconds
Iter 80/1831 took 2.67 seconds
Iter 81/1831 took 2.62 seconds
Iter 82/1831 took 2.63 seconds
Iter 83/1831 took 2.68 seconds
Iter 84/1831 took 2.68 seconds
Iter 85/1831 took 2.69 seconds
Iter 86/1831 took 2.66 seconds
Iter 87/1831 took 2.63 seconds
Iter 88/1831 took 2.61 seconds
Iter 89/1831 took 2.63 seconds
Iter 90/1831 took 2.62 seconds
Iter 91/1831 took 2.62 seconds
Iter 92/1831 took 2.67 seconds
Iter 93/1831 took 2.62 seconds
Iter 94/1831 took 2.68 seconds
Iter 95/1831 took 2.68 seconds
Iter 96/1831 took 2.69 seconds
Iter 97/1831 took 2.72 seconds
Iter 98/1831 took 2.69 seconds
Iter 99/1831 took 2.66 seconds
Iter 100/1831 took 2.65 seconds
Iter 101/1831 took 2.69 seconds
Iter 102/1831 took 2.67 seconds
Iter 103/1831 took 2.71 seconds
Iter 104/1831 took 2.61 seconds
Iter 105/1831 took 2.58 seconds
Iter 106/1831 took 2.66 seconds
Iter 107/1831 took 2.65 seconds
Iter 108/1831 took 2.63 seconds
Iter 109/1831 took 2.62 seconds
Iter 110/1831 took 2.57 seconds
Iter 111/1831 took 2.62 seconds
Iter 112/1831 took 2.63 seconds
Iter 113/1831 took 2.68 seconds
Iter 114/1831 took 2.67 seconds
Iter 115/1831 took 2.64 seconds
Iter 116/1831 took 2.61 seconds
Iter 117/1831 took 2.63 seconds
Iter 118/1831 took 2.64 seconds
Iter 119/1831 took 2.72 seconds
Iter 120/1831 took 2.83 seconds
Iter 121/1831 took 2.83 seconds
Iter 122/1831 took 2.92 seconds
Iter 123/1831 took 2.71 seconds
Iter 124/1831 took 2.81 seconds
Iter 125/1831 took 2.84 seconds
Iter 126/1831 took 2.73 seconds
Iter 127/1831 took 2.73 seconds
Iter 128/1831 took 2.68 seconds
Iter 129/1831 took 2.70 seconds
Iter 130/1831 took 2.77 seconds
Iter 131/1831 took 2.76 seconds
Iter 132/1831 took 2.74 seconds
Iter 133/1831 took 2.77 seconds
Iter 134/1831 took 2.69 seconds
Iter 135/1831 took 2.68 seconds
Iter 136/1831 took 2.66 seconds
Iter 137/1831 took 2.69 seconds
Iter 138/1831 took 2.69 seconds
Iter 139/1831 took 2.67 seconds
Iter 140/1831 took 2.65 seconds
Iter 141/1831 took 2.70 seconds
Iter 142/1831 took 2.69 seconds
Iter 143/1831 took 2.66 seconds
Iter 144/1831 took 2.67 seconds
Iter 145/1831 took 2.65 seconds
Iter 146/1831 took 2.72 seconds
Iter 147/1831 took 2.83 seconds
Iter 148/1831 took 2.76 seconds
Iter 149/1831 took 2.84 seconds
Iter 150/1831 took 2.69 seconds
Iter 151/1831 took 2.60 seconds
Iter 152/1831 took 2.62 seconds
Iter 153/1831 took 2.62 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m_step_005000000.ckpt at global_step=5013504
Iter 154/1831 took 2.69 seconds
Iter 155/1831 took 2.70 seconds
Iter 156/1831 took 2.66 seconds
Iter 157/1831 took 2.66 seconds
Iter 158/1831 took 2.64 seconds
Iter 159/1831 took 2.65 seconds
Iter 160/1831 took 2.68 seconds
Iter 161/1831 took 2.65 seconds
Iter 162/1831 took 2.68 seconds
Iter 163/1831 took 2.66 seconds
Iter 164/1831 took 2.75 seconds
Iter 165/1831 took 2.69 seconds
Iter 166/1831 took 2.74 seconds
Iter 167/1831 took 2.76 seconds
Iter 168/1831 took 2.74 seconds
Iter 169/1831 took 2.79 seconds
Iter 170/1831 took 2.73 seconds
Iter 171/1831 took 2.73 seconds
Iter 172/1831 took 2.62 seconds
Iter 173/1831 took 2.69 seconds
Iter 174/1831 took 2.68 seconds
Iter 175/1831 took 2.68 seconds
Iter 176/1831 took 2.79 seconds
Iter 177/1831 took 2.73 seconds
Iter 178/1831 took 2.68 seconds
Iter 179/1831 took 2.68 seconds
Iter 180/1831 took 2.69 seconds
Iter 181/1831 took 2.66 seconds
Iter 182/1831 took 2.74 seconds
Iter 183/1831 took 2.69 seconds
Iter 184/1831 took 2.63 seconds
Iter 185/1831 took 2.68 seconds
Iter 186/1831 took 2.69 seconds
Iter 187/1831 took 2.64 seconds
Iter 188/1831 took 2.70 seconds
Iter 189/1831 took 2.66 seconds
Iter 190/1831 took 2.69 seconds
Iter 191/1831 took 2.70 seconds
Iter 192/1831 took 2.64 seconds
Iter 193/1831 took 2.72 seconds
Iter 194/1831 took 2.76 seconds
Iter 195/1831 took 2.79 seconds
Iter 196/1831 took 2.71 seconds
Iter 197/1831 took 2.69 seconds
Iter 198/1831 took 2.71 seconds
Iter 199/1831 took 2.67 seconds
Iter 200/1831 took 2.71 seconds
Iter 201/1831 took 2.73 seconds
Iter 202/1831 took 2.65 seconds
Iter 203/1831 took 2.67 seconds
Iter 204/1831 took 2.70 seconds
Iter 205/1831 took 2.72 seconds
Iter 206/1831 took 2.75 seconds
Iter 207/1831 took 2.67 seconds
Iter 208/1831 took 2.62 seconds
Iter 209/1831 took 2.68 seconds
Iter 210/1831 took 2.74 seconds
Iter 211/1831 took 2.74 seconds
Iter 212/1831 took 2.71 seconds
Iter 213/1831 took 2.66 seconds
Iter 214/1831 took 2.64 seconds
